riesgo_laboral,EDAD,SEXO,NIVEL_EDUCATIVO,EXPERIENCIA_MESES,ESTRATO,ZONA,REGION,ESTADO_CIVIL,JEFATURA_HOGAR
,17,2,5,,0.0,1,23,6,3
,24,1,10,12.0,3.0,1,5,6,1
1.0,26,1,10,12.0,3.0,1,5,1,3
1.0,17,2,5,12.0,3.0,1,5,1,7
0.0,24,1,9,12.0,3.0,1,5,6,3
,17,1,5,,3.0,1,5,6,3
0.0,25,2,8,12.0,3.0,1,5,6,3
0.0,23,2,9,12.0,3.0,1,5,6,1
0.0,24,1,5,12.0,3.0,1,5,6,3
1.0,26,2,10,,3.0,1,5,6,3
0.0,23,2,8,1.0,3.0,1,5,6,3
1.0,19,2,5,1.0,3.0,1,5,6,3
0.0,28,2,11,12.0,3.0,1,5,6,3
,15,2,5,,3.0,1,5,6,3
,18,1,10,,3.0,1,5,6,3
0.0,26,2,10,12.0,3.0,1,5,6,3
,20,1,6,,3.0,1,5,6,8
,16,1,5,,3.0,1,5,6,8
1.0,17,1,6,1.0,3.0,1,5,6,9
0.0,23,2,5,11.0,3.0,1,5,6,9
,19,2,5,,1.0,1,5,6,3
0.0,23,2,10,12.0,2.0,1,5,6,3
0.0,22,1,5,12.0,1.0,1,5,6,6
1.0,22,2,10,4.0,1.0,1,5,1,2
0.0,26,1,5,12.0,2.0,1,5,6,1
1.0,22,1,10,,4.0,1,5,6,3
1.0,19,1,5,,4.0,1,5,6,3
1.0,18,1,10,,3.0,1,5,6,3
,18,2,10,,3.0,1,5,6,3
0.0,26,1,10,12.0,4.0,1,5,6,8
,20,2,5,2.0,1.0,1,5,6,3
,18,1,5,12.0,1.0,1,5,6,3
,23,2,5,,4.0,1,5,2,2
1.0,25,1,10,12.0,3.0,1,5,6,1
0.0,27,1,5,12.0,4.0,1,5,6,3
1.0,24,1,10,12.0,3.0,1,5,6,3
0.0,21,2,10,4.0,4.0,1,5,6,3
0.0,27,1,5,12.0,3.0,1,5,6,1
,20,2,8,,2.0,1,5,6,3
,20,2,10,,4.0,1,5,6,8
,27,2,5,12.0,2.0,1,5,2,2
,18,1,10,,4.0,1,5,6,8
,24,2,10,,4.0,1,5,6,1
1.0,27,2,8,12.0,3.0,1,5,6,3
1.0,20,2,5,,1.0,1,5,6,3
,17,2,4,,1.0,1,5,6,3
,20,2,5,,1.0,1,5,6,3
,19,2,5,,1.0,1,5,6,3
1.0,25,1,5,12.0,3.0,1,5,6,3
1.0,22,2,5,12.0,3.0,1,5,6,3
0.0,21,2,10,6.0,5.0,1,5,6,3
,17,1,5,,5.0,1,5,6,3
0.0,23,2,10,7.0,5.0,1,5,6,6
0.0,25,2,8,12.0,3.0,1,5,6,3
,22,1,10,,6.0,1,5,6,1
1.0,21,2,10,11.0,3.0,1,5,6,3
1.0,28,1,10,,3.0,1,5,6,3
,22,2,10,,5.0,1,5,6,3
,27,1,4,,1.0,1,5,6,3
0.0,27,1,8,12.0,1.0,1,5,6,1
0.0,27,1,8,12.0,1.0,1,5,1,1
1.0,22,2,5,8.0,1.0,1,5,1,2
1.0,22,1,5,9.0,1.0,1,5,2,3
,21,2,5,,1.0,1,5,2,7
0.0,22,1,10,12.0,1.0,1,5,6,3
,17,1,5,,1.0,1,5,6,3
0.0,20,2,8,12.0,1.0,1,5,1,1
,24,1,3,,1.0,1,5,1,2
,21,1,4,,1.0,1,5,6,3
1.0,20,2,5,12.0,1.0,1,5,6,1
